IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.237.84.173,2083,true,SIN,Asia Pacific,Singapore,285 ms,3862 kB/s
47.236.146.249,2096,true,SIN,Asia Pacific,Singapore,276 ms,3852 kB/s
47.236.10.182,2087,true,SIN,Asia Pacific,Singapore,280 ms,3851 kB/s
47.238.36.250,80,true,SIN,Asia Pacific,Singapore,65 ms,3818 kB/s
47.236.205.188,2096,true,SIN,Asia Pacific,Singapore,305 ms,3810 kB/s
47.236.171.205,2053,true,SIN,Asia Pacific,Singapore,285 ms,3794 kB/s
47.236.146.249,8443,true,SIN,Asia Pacific,Singapore,283 ms,3788 kB/s
47.236.253.41,2083,true,SIN,Asia Pacific,Singapore,307 ms,3772 kB/s
47.238.50.221,80,true,SIN,Asia Pacific,Singapore,67 ms,3769 kB/s
47.236.202.91,2053,true,SIN,Asia Pacific,Singapore,290 ms,3769 kB/s
47.237.100.206,2083,true,SIN,Asia Pacific,Singapore,308 ms,3746 kB/s
47.237.84.173,2053,true,SIN,Asia Pacific,Singapore,282 ms,3740 kB/s
47.236.118.216,2083,true,SIN,Asia Pacific,Singapore,315 ms,3715 kB/s
47.236.10.100,2083,true,SIN,Asia Pacific,Singapore,317 ms,3708 kB/s
47.236.93.176,8443,true,SIN,Asia Pacific,Singapore,310 ms,3702 kB/s
47.237.82.15,2053,true,SIN,Asia Pacific,Singapore,296 ms,3696 kB/s
47.236.10.182,2083,true,SIN,Asia Pacific,Singapore,287 ms,3667 kB/s
47.236.232.148,2087,true,SIN,Asia Pacific,Singapore,287 ms,3636 kB/s
47.236.164.215,2083,true,SIN,Asia Pacific,Singapore,278 ms,3620 kB/s
47.236.145.85,2087,true,SIN,Asia Pacific,Singapore,314 ms,3608 kB/s
47.236.232.148,8443,true,SIN,Asia Pacific,Singapore,296 ms,3593 kB/s
47.76.225.255,2087,true,HKG,Asia Pacific,Hong Kong,63 ms,3577 kB/s
47.236.166.131,2053,true,SIN,Asia Pacific,Singapore,295 ms,3567 kB/s
47.238.48.58,80,true,SIN,Asia Pacific,Singapore,75 ms,3550 kB/s
47.237.92.26,2083,true,SIN,Asia Pacific,Singapore,277 ms,3543 kB/s
47.236.237.90,2053,true,SIN,Asia Pacific,Singapore,279 ms,3535 kB/s
47.238.41.59,80,true,KUL,Asia Pacific,Kuala Lumpur,58 ms,3525 kB/s
47.236.167.231,2083,true,SIN,Asia Pacific,Singapore,302 ms,3519 kB/s
47.236.80.110,2083,true,SIN,Asia Pacific,Singapore,289 ms,3514 kB/s
47.236.80.110,2096,true,SIN,Asia Pacific,Singapore,293 ms,3501 kB/s
47.237.8.82,8443,true,SIN,Asia Pacific,Singapore,285 ms,3499 kB/s
47.236.146.249,2087,true,SIN,Asia Pacific,Singapore,311 ms,3497 kB/s
47.236.254.120,8443,true,SIN,Asia Pacific,Singapore,323 ms,3496 kB/s
47.236.237.90,8443,true,SIN,Asia Pacific,Singapore,306 ms,3464 kB/s
47.237.14.220,2087,true,SIN,Asia Pacific,Singapore,285 ms,3439 kB/s
47.237.94.140,2083,true,SIN,Asia Pacific,Singapore,299 ms,3416 kB/s
47.238.48.153,80,true,SIN,Asia Pacific,Singapore,77 ms,3394 kB/s
47.236.130.95,443,true,SIN,Asia Pacific,Singapore,278 ms,3393 kB/s
47.236.180.51,2087,true,SIN,Asia Pacific,Singapore,291 ms,3383 kB/s
47.236.80.110,2053,true,SIN,Asia Pacific,Singapore,318 ms,3354 kB/s
47.236.144.208,2053,true,SIN,Asia Pacific,Singapore,323 ms,3321 kB/s
47.237.11.182,2096,true,SIN,Asia Pacific,Singapore,309 ms,3317 kB/s
47.236.172.95,2096,true,SIN,Asia Pacific,Singapore,326 ms,3312 kB/s
47.236.205.188,2053,true,SIN,Asia Pacific,Singapore,298 ms,3295 kB/s
47.236.253.41,2087,true,SIN,Asia Pacific,Singapore,293 ms,3270 kB/s
47.237.8.82,2053,true,SIN,Asia Pacific,Singapore,309 ms,3220 kB/s
47.236.171.205,8443,true,SIN,Asia Pacific,Singapore,292 ms,3195 kB/s
47.236.150.13,2083,true,SIN,Asia Pacific,Singapore,292 ms,3186 kB/s
47.90.141.204,443,true,LAX,North America,Los Angeles,256 ms,3183 kB/s
47.236.97.90,2083,true,SIN,Asia Pacific,Singapore,316 ms,3138 kB/s
47.237.8.82,2087,true,SIN,Asia Pacific,Singapore,303 ms,3122 kB/s
47.237.84.173,2087,true,SIN,Asia Pacific,Singapore,308 ms,3106 kB/s
47.237.0.31,2087,true,SIN,Asia Pacific,Singapore,280 ms,3098 kB/s
47.236.172.95,8443,true,SIN,Asia Pacific,Singapore,335 ms,3093 kB/s
47.237.8.82,2096,true,SIN,Asia Pacific,Singapore,309 ms,3087 kB/s
